frame,+0x00,+0x04,+0x08,+0x0C,+0x10,+0x14,+0x18,+0x1C,+0x20,+0x24,+0x28,+0x2C,+0x30,+0x34,+0x38,+0x3C,+0x40,+0x44,+0x48,+0x4C,+0x50,+0x54,+0x58,+0x5C,+0x60,+0x64,+0x68,+0x6C,+0x70,+0x74,+0x78,+0x7C,+0x80,+0x84,+0x88,+0x8C,+0x90,+0x94,+0x98,+0x9C,+0xA0,+0xA4,+0xA8,+0xAC,+0xB0,+0xB4,+0xB8,+0xBC,+0xC0,+0xC4,+0xC8,+0xCC,+0xD0,+0xD4,+0xD8,+0xDC,+0xE0,+0xE4,+0xE8,+0xEC,+0xF0,+0xF4,+0xF8,+0xFC,+0x100,+0x104,+0x108,+0x10C,+0x110,+0x114,+0x118,+0x11C,+0x120,+0x124,+0x128,+0x12C,+0x130,+0x134,+0x138,+0x13C,+0x140,+0x144,+0x148,+0x14C,+0x150,+0x154,+0x158,+0x15C,+0x160,+0x164,+0x168,+0x16C,+0x170,+0x174,+0x178,+0x17C,+0x180,+0x184,+0x188,+0x18C,+0x190,+0x194,+0x198,+0x19C,+0x1A0,+0x1A4,+0x1A8,+0x1AC,+0x1B0,+0x1B4,+0x1B8,+0x1BC,+0x1C0,+0x1C4,+0x1C8,+0x1CC,+0x1D0,+0x1D4,+0x1D8,+0x1DC,+0x1E0,+0x1E4,+0x1E8,+0x1EC,+0x1F0,+0x1F4,+0x1F8,+0x1FC
0,0x002ED49D,0x00005EA8,0xFF544883,0xFF35D6EF,0xFE2C0000,0x0000CB28,0xE1380000,0x00000000,0x00000000,0x00000000,0x00000000,0x0001ACAE,0x00000400,0x00000000,0xFFFFD6EF,0xFFFFD6EF,0x00000000,0x00000000,0xFFFFB198,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFFF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFD229967,0x00000000,0x00000000,0x00000000,0x000001F4,0xFFF01500,0x00080000,0xFFFFF4A0,0x0000FFBC,0x00025F04,0x00021324,0x00000000,0x08961186,0x07067088,0x001DC809,0xFFFFFD78,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00220000,0x00000000,0xFFFFD6ED,0x00000000,0x00000000,0xFFFFD6ED,0xFFFFE639,0x08000000,0x03200000,0x02BC0000,0x060F45F0,0x00010000,0x0605273C,0x0605278C,0x00000000,0x00000000,0x03A003A0,0x00000000,0x00000000,0x00000000,0x00030000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0x0000001D,0xB1980000,0x00000000,0x00000000,0x00000000,0x000E0000,0x00000000,0x00000000,0x00008D4F,0x68F551EB,0x5A7A0000,0x00000705,0x00000000,0x00000000,0x00010002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
1,0x002ED49D,0x00005EA8,0xFF544883,0xFF35D6EF,0xFE2C0000,0x0000CB28,0xE1380000,0x00000000,0x00000000,0x00000000,0x00000000,0x0001ACAE,0x00000400,0x00000000,0xFFFFD6EF,0xFFFFD6EF,0x00000000,0x00000000,0xFFFFB198,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFFF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFD229967,0x00000000,0x00000000,0x00000000,0x000001F4,0xFFF01500,0x00080000,0xFFFFF4A0,0x0000FFBC,0x00025F04,0x00021324,0x00000000,0x08961186,0x07067088,0x001DC809,0xFFFFFD78,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00220000,0x00000000,0xFFFFD6ED,0x00000000,0x00000000,0xFFFFD6ED,0xFFFFE639,0x08000000,0x03200000,0x02BC0000,0x060F45F0,0x00010000,0x0605273C,0x0605278C,0x00000000,0x00000000,0x03A003A0,0x00000000,0x00000000,0x00000000,0x00030000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0x0000001D,0xB1980000,0x00000000,0x00000000,0x00000000,0x000E0000,0x00000000,0x00000000,0x00008D4F,0x68F551EB,0x5A7A0000,0x00000705,0x00000000,0x00000000,0x00010002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
2,0x002ED49D,0x00005EA8,0xFF544883,0xFF35D6EF,0xFE2C0000,0x0000CB28,0xE1380000,0x00000000,0x00000000,0x00000000,0x00000000,0x0001ACAE,0x00000400,0x00000000,0xFFFFD6EF,0xFFFFD6EF,0x00000000,0x00000000,0xFFFFB198,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x0000000B,0x00000001,0x0000003E,0x0000000B,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFFF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFD914E55,0x00000000,0x00000000,0x00000000,0x000001F4,0xFFF01500,0x00080000,0xFFFFF4A0,0x0000FFBC,0x00023913,0x0001F1F1,0x00000000,0x08960BE7,0x07066B9D,0x001DEB69,0xFFFFFD78,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00220000,0x00000000,0xFFFFD6ED,0x00000000,0x00000000,0xFFFFD6ED,0xFFFFE639,0x08000000,0x03200000,0x02BC0000,0x060F45F0,0x00010000,0x0605273C,0x0605278C,0x00000000,0x00000000,0x03A003A0,0x00000000,0x00000000,0x00000000,0x00030000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0x0000001D,0xB1980000,0x00000000,0x00000000,0x00000000,0x000E0000,0x00000000,0x00000000,0x00008D4F,0x68F551EB,0x5A7A0000,0x00000705,0x00000000,0x00000000,0x00010002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
3,0x002ED49D,0x00005EA8,0xFF544883,0xFF35D6EF,0xFE2C0000,0x0000CB28,0xE1380000,0x00000000,0x00000000,0x00000000,0x00000000,0x0001ACAE,0x00000400,0x00000000,0xFFFFD6EF,0xFFFFD6EF,0x00000000,0x00000000,0xFFFFB198,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x0000000B,0x00000001,0x0000003E,0x0000000B,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFFF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFD914E55,0x00000000,0x00000000,0x00000000,0x000001F4,0xFFF01500,0x00080000,0xFFFFF4A0,0x0000FFBC,0x00023913,0x0001F1F1,0x00000000,0x08960BE7,0x07066B9D,0x001DEB69,0xFFFFFD78,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00220000,0x00000000,0xFFFFD6ED,0x00000000,0x00000000,0xFFFFD6ED,0xFFFFE639,0x08000000,0x03200000,0x02BC0000,0x060F45F0,0x00010000,0x0605273C,0x0605278C,0x00000000,0x00000000,0x03A003A0,0x00000000,0x00000000,0x00000000,0x00030000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0x0000001D,0xB1980000,0x00000000,0x00000000,0x00000000,0x000E0000,0x00000000,0x00000000,0x00008D4F,0x68F551EB,0x5A7A0000,0x00000705,0x00000000,0x00000000,0x00010002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
4,0x002ED49D,0x00005EA8,0xFF544883,0xFF35D6EF,0xFE2C0000,0x0000CB28,0xE1380000,0x00000000,0x00000000,0x00000000,0x00000000,0x0001ACAE,0x00000400,0x00000000,0xFFFFD6EF,0xFFFFD6EF,0x00000000,0x00000000,0xFFFFB198,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x00000017,0x00000001,0x00000044,0x00000017,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFFF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFE0A1CD3,0x00000000,0x00000000,0x00000000,0x000001F4,0xFFF01500,0x00080000,0xFFFFF4A0,0x0000FFBC,0x00021581,0x0001D2D1,0x00000000,0x089606A2,0x07066701,0x001E0C93,0xFFFFFD78,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00220000,0x00000000,0xFFFFD6ED,0x00000000,0x00000000,0xFFFFD6ED,0xFFFFE639,0x08000000,0x03200000,0x02BC0000,0x060F45F0,0x00010000,0x0605273C,0x0605278C,0x00000000,0x00000000,0x03A003A0,0x00000000,0x00000000,0x00000000,0x00030000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0x0000001D,0xB1980000,0x00000000,0x00000000,0x00000000,0x000E0000,0x00000000,0x00000000,0x00008D4F,0x68F551EB,0x5A7A0000,0x00000705,0x00000000,0x00000000,0x00010002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
5,0x002ED49D,0x00005EA8,0xFF544883,0xFF35D6EF,0xFE2C0000,0x0000CB28,0xE1380000,0x00000000,0x00000000,0x00000000,0x00000000,0x0001ACAE,0x00000400,0x00000000,0xFFFFD6EF,0xFFFFD6EF,0x00000000,0x00000000,0xFFFFB198,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x00000017,0x00000001,0x00000044,0x00000017,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFFF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFE0A1CD3,0x00000000,0x00000000,0x00000000,0x000001F4,0xFFF01500,0x00080000,0xFFFFF4A0,0x0000FFBC,0x00021581,0x0001D2D1,0x00000000,0x089606A2,0x07066701,0x001E0C93,0xFFFFFD78,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00220000,0x00000000,0xFFFFD6ED,0x00000000,0x00000000,0xFFFFD6ED,0xFFFFE639,0x08000000,0x03200000,0x02BC0000,0x060F45F0,0x00010000,0x0605273C,0x0605278C,0x00000000,0x00000000,0x03A003A0,0x00000000,0x00000000,0x00000000,0x00030000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0x0000001D,0xB1980000,0x00000000,0x00000000,0x00000000,0x000E0000,0x00000000,0x00000000,0x00008D4F,0x68F551EB,0x5A7A0000,0x00000705,0x00000000,0x00000000,0x00010002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
6,0x002ED49D,0x00005EA8,0xFF544883,0xFF35D6EF,0xFE2C0000,0x0000CB28,0xE1380000,0x00000000,0x00000000,0x00000000,0x00000000,0x0001ACAE,0x00000400,0x00000000,0xFFFFD6EF,0xFFFFD6EF,0x00000000,0x00000000,0xFFFFB198,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x00000023,0x00000001,0x0000004A,0x00000023,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFFF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFE82E428,0x00000000,0x00000000,0x00000000,0x000001F4,0xFFF01500,0x00080000,0xFFFFF4A0,0x0000FFBC,0x0001F428,0x0001B5A3,0x00000000,0x089601B2,0x070662AF,0x001E2BAA,0xFFFFFD78,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00220000,0x00000000,0xFFFFD6ED,0x00000000,0x00000000,0xFFFFD6ED,0xFFFFE639,0x08000000,0x03200000,0x02BC0000,0x060F45F0,0x00010000,0x0605273C,0x0605278C,0x00000000,0x00000000,0x03A003A0,0x00000000,0x00000000,0x00000000,0x00030000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0x0000001D,0xB1980000,0x00000000,0x00000000,0x00000000,0x000E0000,0x00000000,0x00000000,0x00008D4F,0x68F551EB,0x5A7A0000,0x00000705,0x00000000,0x00000000,0x00010002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
7,0x002ED49D,0x00005EA8,0xFF544883,0xFF35D6EF,0xFE2C0000,0x0000CB28,0xE1380000,0x00000000,0x00000000,0x00000000,0x00000000,0x0001ACAE,0x00000400,0x00000000,0xFFFFD6EF,0xFFFFD6EF,0x00000000,0x00000000,0xFFFFB198,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x00000023,0x00000001,0x0000004A,0x00000023,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFFF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFE82E428,0x00000000,0x00000000,0x00000000,0x000001F4,0xFFF01500,0x00080000,0xFFFFF4A0,0x0000FFBC,0x0001F428,0x0001B5A3,0x00000000,0x089601B2,0x070662AF,0x001E2BAA,0xFFFFFD78,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00220000,0x00000000,0xFFFFD6ED,0x00000000,0x00000000,0xFFFFD6ED,0xFFFFE639,0x08000000,0x03200000,0x02BC0000,0x060F45F0,0x00010000,0x0605273C,0x0605278C,0x00000000,0x00000000,0x03A003A0,0x00000000,0x00000000,0x00000000,0x00030000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0x0000001D,0xB1980000,0x00000000,0x00000000,0x00000000,0x000E0000,0x00000000,0x00000000,0x00008D4F,0x68F551EB,0x5A7A0000,0x00000705,0x00000000,0x00000000,0x00010002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
8,0x002ED49D,0x00005EA8,0xFF544883,0xFF35D6EF,0xFE2C0000,0x0000CB28,0xE1380000,0x00000000,0x00000000,0x00000000,0x00000000,0x0001ACAE,0x00000400,0x00000000,0xFFFFD6EF,0xFFFFD6EF,0x00000000,0x00000000,0xFFFFB198,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x0000002F,0x00000001,0x00000050,0x0000002F,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFFF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFEFBB2A6,0x00000000,0x00000000,0x00000000,0x000001F4,0xFFF01500,0x00080000,0xFFFFF4A0,0x0000FFBC,0x0001D4E5,0x00019A48,0x00000000,0x0895FD11,0x07065EA2,0x001E48D1,0xFFFFFD78,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00220000,0x00000000,0xFFFFD6ED,0x00000000,0x00000000,0xFFFFD6ED,0xFFFFE639,0x08000000,0x03200000,0x02BC0000,0x060F45F0,0x00010000,0x0605273C,0x0605278C,0x00000000,0x00000000,0x03A003A0,0x00000000,0x00000000,0x00000000,0x00030000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0x0000001D,0xB1980000,0x00000000,0x00000000,0x00000000,0x000E0000,0x00000000,0x00000000,0x00008D4F,0x68F551EB,0x5A7A0000,0x00000705,0x00000000,0x00000000,0x00010002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
9,0x002ED49D,0x00005EA8,0xFF544883,0xFF35D6EF,0xFE2C0000,0x0000CB28,0xE1380000,0x00000000,0x00000000,0x00000000,0x00000000,0x0001ACAE,0x00000400,0x00000000,0xFFFFD6EF,0xFFFFD6EF,0x00000000,0x00000000,0xFFFFB198,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x0000002F,0x00000001,0x00000050,0x0000002F,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFFF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFEFBB2A6,0x00000000,0x00000000,0x00000000,0x000001F4,0xFFF01500,0x00080000,0xFFFFF4A0,0x0000FFBC,0x0001D4E5,0x00019A48,0x00000000,0x0895FD11,0x07065EA2,0x001E48D1,0xFFFFFD78,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00220000,0x00000000,0xFFFFD6ED,0x00000000,0x00000000,0xFFFFD6ED,0xFFFFE639,0x08000000,0x03200000,0x02BC0000,0x060F45F0,0x00010000,0x0605273C,0x0605278C,0x00000000,0x00000000,0x03A003A0,0x00000000,0x00000000,0x00000000,0x00030000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0x0000001D,0xB1980000,0x00000000,0x00000000,0x00000000,0x000E0000,0x00000000,0x00000000,0x00008D4F,0x68F551EB,0x5A7A0000,0x00000705,0x00000000,0x00000000,0x00010002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
10,0x002ED49D,0x00005EA8,0xFF544883,0xFF35D6EF,0xFE2C0000,0x0000CB28,0xE1380000,0x00000000,0x00000000,0x00000000,0x00000000,0x0001ACAE,0x00000400,0x00000000,0xFFFFD6EF,0xFFFFD6EF,0x00000000,0x00000000,0xFFFFB198,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x0000003B,0x00000001,0x00000056,0x0000003B,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFFF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFF748124,0x00000000,0x00000000,0x00000000,0x000001F4,0xFFF01500,0x00080000,0xFFFFF4A0,0x0000FFBC,0x0001B796,0x000180A3,0x00000000,0x0895F8B9,0x07065AD5,0x001E6424,0xFFFFFD78,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00220000,0x00000000,0xFFFFD6ED,0x00000000,0x00000000,0xFFFFD6ED,0xFFFFE639,0x08000000,0x03200000,0x02BC0000,0x060F45F0,0x00010000,0x0605273C,0x0605278C,0x00000000,0x00000000,0x03A003A0,0x00000000,0x00000000,0x00000000,0x00030000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0x0000001D,0xB1980000,0x00000000,0x00000000,0x00000000,0x000E0000,0x00000000,0x00000000,0x00008D4F,0x68F551EB,0x5A7A0000,0x00000705,0x00000000,0x00000000,0x00010002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
11,0x002ED49D,0x00005EA8,0xFF544883,0xFF35D6EF,0xFE2C0000,0x0000CB28,0xE1380000,0x00000000,0x00000000,0x00000000,0x00000000,0x0001ACAE,0x00000400,0x00000000,0xFFFFD6EF,0xFFFFD6EF,0x00000000,0x00000000,0xFFFFB198,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x0000003B,0x00000001,0x00000056,0x0000003B,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFFF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFF748124,0x00000000,0x00000000,0x00000000,0x000001F4,0xFFF01500,0x00080000,0xFFFFF4A0,0x0000FFBC,0x0001B796,0x000180A3,0x00000000,0x0895F8B9,0x07065AD5,0x001E6424,0xFFFFFD78,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00220000,0x00000000,0xFFFFD6ED,0x00000000,0x00000000,0xFFFFD6ED,0xFFFFE639,0x08000000,0x03200000,0x02BC0000,0x060F45F0,0x00010000,0x0605273C,0x0605278C,0x00000000,0x00000000,0x03A003A0,0x00000000,0x00000000,0x00000000,0x00030000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0x0000001D,0xB1980000,0x00000000,0x00000000,0x00000000,0x000E0000,0x00000000,0x00000000,0x00008D4F,0x68F551EB,0x5A7A0000,0x00000705,0x00000000,0x00000000,0x00010002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
12,0x002ED49D,0x00005EA8,0xFF544883,0xFF35D6EF,0xFE2C0000,0x0000CB28,0xE1380000,0x00000000,0x00000000,0x00000000,0x00000000,0x0001ACAE,0x00000400,0x00000000,0xFFFFD6EF,0xFFFFD6EF,0x00000000,0x00000000,0xFFFFB198,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x00000047,0x00000001,0x0000005C,0x00000047,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFFF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFFED4878,0x00000000,0x00000000,0x00000000,0x000001F4,0xFFF01500,0x00080000,0xFFFFF4A0,0x0000FFBC,0x00019C1C,0x00016898,0x00000000,0x0895F4A7,0x07065746,0x001E7DC3,0xFFFFFD78,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00220000,0x00000000,0xFFFFD6ED,0x00000000,0x00000000,0xFFFFD6ED,0xFFFFE639,0x08000000,0x03200000,0x02BC0000,0x060F45F0,0x00010000,0x0605273C,0x0605278C,0x00000000,0x00000000,0x03A003A0,0x00000000,0x00000000,0x00000000,0x00030000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0x0000001D,0xB1980000,0x00000000,0x00000000,0x00000000,0x000E0000,0x00000000,0x00000000,0x00008D4F,0x68F551EB,0x5A7A0000,0x00000705,0x00000000,0x00000000,0x00010002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
13,0x002ED49D,0x00005EA8,0xFF544883,0xFF35D6EF,0xFE2C0000,0x0000CB28,0xE1380000,0x00000000,0x00000000,0x00000000,0x00000000,0x0001ACAE,0x00000400,0x00000000,0xFFFFD6EF,0xFFFFD6EF,0x00000000,0x00000000,0xFFFFB198,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x00000047,0x00000001,0x0000005C,0x00000047,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFFF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFFED4878,0x00000000,0x00000000,0x00000000,0x000001F4,0xFFF01500,0x00080000,0xFFFFF4A0,0x0000FFBC,0x00019C1C,0x00016898,0x00000000,0x0895F4A7,0x07065746,0x001E7DC3,0xFFFFFD78,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00220000,0x00000000,0xFFFFD6ED,0x00000000,0x00000000,0xFFFFD6ED,0xFFFFE639,0x08000000,0x03200000,0x02BC0000,0x060F45F0,0x00010000,0x0605273C,0x0605278C,0x00000000,0x00000000,0x03A003A0,0x00000000,0x00000000,0x00000000,0x00030000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0x0000001D,0xB1980000,0x00000000,0x00000000,0x00000000,0x000E0000,0x00000000,0x00000000,0x00008D4F,0x68F551EB,0x5A7A0000,0x00000705,0x00000000,0x00000000,0x00010002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
14,0x002ED4C8,0x00005EA6,0xFF54489E,0xFF35D6EF,0xFE2C0000,0x0000CB28,0xE1380000,0x00000000,0x00000000,0x00000034,0x00000000,0x0001ACAE,0x00000400,0x00000000,0xFFFFD6EF,0xFFFFD6EF,0x00000000,0x00000000,0xFFFFB198,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00010000,0x00010000,0x002DD774,0x00000000,0x00000000,0x00000053,0x00000001,0x00000062,0x00000053,0x00000000,0x00000000,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFFF,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x006616F6,0x00000000,0x00000000,0x00000005,0x000001F4,0xFFF01500,0x00080000,0xFFFFF4A0,0x0000FFBC,0x0001825A,0x0001520E,0x00000034,0x0895F0D6,0x070653EF,0x001E95C7,0xFFFFFD78,0x00000000,0x0000002B,0x0000001B,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00220000,0x00000000,0xFFFFD6ED,0x00000000,0x00000000,0xFFFFD6ED,0xFFFFE639,0x08000000,0x03200000,0x02BC0000,0x060F45F0,0x00010000,0x0605273C,0x0605278C,0x00000000,0x00000000,0x03A003A0,0x00000000,0x00000000,0x00000000,0x00030000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0x0000001D,0xB1980001,0x00000028,0x00000000,0x00000000,0x000E0000,0x00000000,0x00000000,0x00008D4F,0x68F551EB,0x5A7A0000,0x00000705,0x00000000,0x00000000,0x00010002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
